BaselineName,Model,Accuracy,AvgTokens
ZeroShot,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,0.340000,55.78
Contextual,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,0.280000,62.68
ZeroShot,Qwen/Qwen2.5-1.5B-Instruct,0.000000,54.78
Contextual,Qwen/Qwen2.5-1.5B-Instruct,0.640000,61.68
ZeroShot,meta-llama/Llama-3.2-1B-Instruct,0.000000,55.78
Contextual,meta-llama/Llama-3.2-1B-Instruct,0.000000,62.68
ZeroShot,nvidia/OpenMath-Nemotron-1.5B,0.040000,54.78
Contextual,nvidia/OpenMath-Nemotron-1.5B,0.020000,61.68
ZeroShot,google/gemma-3-1b-it,0.200000,57.04
Contextual,google/gemma-3-1b-it,0.340000,64.84
