Objective1_(1-Accuracy),Objective2_(TotalTokens)
5.999999999999999778e-01,2.000000000000000000e+00
5.999999999999999778e-01,2.000000000000000000e+00
5.999999999999999778e-01,2.000000000000000000e+00
5.999999999999999778e-01,2.000000000000000000e+00
5.999999999999999778e-01,2.000000000000000000e+00
5.999999999999999778e-01,2.000000000000000000e+00
5.999999999999999778e-01,2.000000000000000000e+00
5.999999999999999778e-01,2.000000000000000000e+00
5.999999999999999778e-01,2.000000000000000000e+00
5.999999999999999778e-01,2.000000000000000000e+00
5.999999999999999778e-01,2.000000000000000000e+00
5.999999999999999778e-01,2.000000000000000000e+00
5.999999999999999778e-01,2.000000000000000000e+00
5.999999999999999778e-01,2.000000000000000000e+00
5.999999999999999778e-01,2.000000000000000000e+00
5.999999999999999778e-01,2.000000000000000000e+00
5.999999999999999778e-01,2.000000000000000000e+00
